hillnumber,hillname,region,parent,classification,metres,gridref,latitude,longitude,wainwright
2554,Sheffield Pike,34C,2515,Sim;Hew;N;sHu; W;B;Sy;Fel,676.1,NY369181,54.554936,-2.977002,1
2556,Loadpot Hill,34C,2528,Sim;Hew;N;W; B;Sy;Fel,672,NY456180,54.554737,-2.842087,1
2557,Wether Hill,34C,2528,W;B;Sy;Fel; xN,671,NY455167,54.543239,-2.842453,1
2559,Tarn Crag (Sleddale),34C,,Ma;Sim;Hew;N; W;B;Sy;Fel,664,NY488078,54.463458,-2.790658,1
2561,Place Fell,34C,,Ma;Sim;Hew;N; W;B;Sy;Fel,657,NY405169,54.544269,-2.920741,1
2562,High Pike (Scandale),34C,2521,W;B;Sy;Fel,656,NY374088,54.470976,-2.966791,1
2563,Selside Pike,34C,2528,Sim;Hew;N;W; B;Sy;Fel,655,NY490111,54.49308,-2.787925,1
2564,Middle Dodd,34C,2538,W;B;Sy;Fel,654,NY397095,54.477939,-2.931566,1
2565,Grey Crag [Sleddale Fell],34C,2559,Sim;Hew;N;W; B;Sy;Fel,638,NY497072,54.457874,-2.777191,1
2566,Little Hart Crag [Little Hart Crag - West Top],34C,2521,Sim;Hew;N;W; B;Sy;Fel,637,NY387100,54.481916,-2.947169,1
2570,Birks,34C,2527,N;sSim;W;B; Sy;Fel,624,NY380143,54.520711,-2.959051,1
2572,Hartsop Dodd,34C,2540,N;sSim;W;B; Sy;Fel,618,NY411118,54.498538,-2.910448,1
2573,Heron Pike (Rydal),34C,2521,N;sSim;W;B; Sy,612,NY355083,54.466072,-2.995126,1
2574,Shipman Knotts,34C,2528,W;B;Sy;Fel,587,NY472062,54.448577,-2.814707,1
2575,Great Yarlside,34C,2559,WO;B,591,NY525075,54.461514,-2.734065,0
2576,Howes,34C,2528,WO,583,NY498103,54.486263,-2.776063,0
2577,The Nab,34C,2528,5;Dew;W;B; Sy,576,NY434151,54.528893,-2.875675,1
2578,Hartsop Above How [Gill Crag - Hartsop Above How],34C,2521,s5;W;B;Sy; Fel,584,NY383120,54.499595,-2.953939,1
2579,Angletarn Pikes [Angletarn Pikes North Top],34C,2528,5;Dew;W;B; Sy;Fel,567,NY413148,54.525312,-2.907999,1
2580,Great Saddle Crag,34C,2559,WO;B;Sy,560,NY526086,54.471093,-2.732755,0
2581,Wasdale Pike,34C,2559,WO;B;Sy,565,NY536084,54.469706,-2.716868,0
2582,Brock Crags (Wainwright),34C,2528,W;B;Sy;Fel,561.2,NY416136,54.514891,-2.902593,1
2583,Great Mell Fell,34C,,Ma;5;Dew;W; B;Sy;Fel,537,NY396253,54.619846,-2.935641,1
2584,Arthur's Pike,34C,2528,W;B;Sy;Fel,533,NY460206,54.578426,-2.835799,1
2585,High Wether Howe,34C,2559,5;Dew;WO;B; Sy,531,NY514109,54.491324,-2.750299,0
2586,White Howe (Bannisdale),34C,2559,5;Dew;WO;B; Sy,530,NY523041,54.430964,-2.735831,0
2587,Lord's Seat (Crookdale) [Lord's Seat - High House Fell],34C,2559,5;Dew;WO;B; Sy,524,NY518066,54.452626,-2.744224,0
2588,Bonscale Pike,34C,2528,W;B;Sy;Fel,524,NY453200,54.573028,-2.846935,1
2589,High Hartsop Dodd,34C,2521,W;B;Sy;Fel,519,NY393107,54.488614,-2.93769,1
2590,Sallows,34C,2528,5;Dew;W;B; Sy;Fel,516,NY436039,54.428122,-2.869995,1
2591,Little Yarlside,34C,2559,WO;B;Sy,518,NY530071,54.457704,-2.724988,0
2592,Seat Robert,34C,2559,5;Dew;WO;B; Sy,515,NY526114,54.495755,-2.732702,0
2593,Capplebarrow,34C,2559,s5;WO;B;Sy,513,NY508035,54.424929,-2.759814,0
2594,Fewling Stones,34C,2559,WO;Sy,509,NY513117,54.498962,-2.753358,0
2595,Beda Fell [Beda Head],34C,2528,5;Dew;W;B; Sy;Fel,509,NY428171,54.54649,-2.884399,1
2596,Low Pike,34C,2521,W;B;Sy;Fel,508,NY373078,54.462069,-2.967985,1
2597,Sleddale Pike,34C,2559,WO;B;Sy,506,NY535094,54.478055,-2.718418,0
2598,Little Mell Fell,34C,,Ma;5;Dew;W; B;Sy;Fel,505,NY423240,54.608024,-2.894465,1
2599,Hare Shaw,34C,2528,WO;B;Sy,503,NY497131,54.511158,-2.777492,0
2600,Ulthwaite Rigg,34C,2559,WO;B;Sy,502,NY514093,54.477033,-2.750562,0
2601,Stone Arthur,34C,2521,W;B;Sy;Fel,504,NY347092,54.474276,-3.008366,1
2602,High House Bank,34C,2559,4;WO;B;Sy,495,NY543048,54.436904,-2.705888,0
2604,Robin Hood,34C,2559,4;WO;B;Sy,493,NY530058,54.446034,-2.725722,0
2605,Bannisdale Fell - Long Crag,34C,2559,4;WO;B;Sy,493,NY515052,54.440381,-2.747857,0
2606,Nabs Moor,34C,2528,WO,493,NY503111,54.49283,-2.768174,0
2607,Baystones [Wansfell],34C,2540,Hu;4;sMa;W; Fel,486.9,NY403051,54.438194,-2.921751,1
2608,Whatshaw Common,34C,2559,4;WO;B;Sy,490,NY541061,54.449079,-2.707917,0
2609,Sour Howes,34C,2528,4;W;B;Sy,483,NY427032,54.421166,-2.883579,1
2610,Gowbarrow Fell (Wainwright summit),34C,2598,W;B;Sy;Fel,481.2,NY407218,54.58811,-2.918201,1
2611,Nab Scar,34C,2521,W;B;Sy;Fel,450,NY355072,54.456414,-2.995833,1
2612,Glenridding Dodd,34C,2515,4;W;B;Sy; Fel,442,NY380175,54.54947,-2.959246,1
2613,Great Ladstones,34C,2559,WO;Sy,440,NY532123,54.504435,-2.724116,0
2614,Arnison Crag,34C,2527,4;W;B;Sy; Fel,433,NY393149,54.526364,-2.938524,1
2615,Steel Knotts [Pikeawassa - Steel Knotts],34C,2528,4;W;B;Sy; Fel,432,NY440181,54.555245,-2.866807,1
2616,Brunt Knott,34C,2528,WO;B;Sy,427,NY484006,54.398481,-2.795661,0
2617,Hollow Moor [Green Quarter Fell],34C,2528,4;WO;B;Sy,426,NY469040,54.428986,-2.819729,0
2618,Harper Hills,34C,2528,WO;B;Sy,414,NY509142,54.521079,-2.759373,0
2619,Hugh's Laithes Pike,34C,2528,WO;Sy,419,NY502151,54.529284,-2.770806,0
2620,Todd Fell,34C,2559,WO;B;Sy,401,NY512020,54.411634,-2.753019,0
2621,Langhowe Pike,34C,2559,WO,401,NY528134,54.514402,-2.730008,0
2622,Whiteside Pike,34C,2559,3;WO;B;Sy,397,NY520015,54.406817,-2.739882,0
2623,Hallin Fell,34C,,Ma;3;W;B; Sy;Fel,388,NY433198,54.570412,-2.878498,1
2624,Heughscar Hill,34C,2528,3;WO;B;Sy,375,NY488231,54.601058,-2.794049,0
2625,Lamb Pasture,34C,2559,WO;B;Sy,367,NY534020,54.412202,-2.718746,0
2626,Troutbeck Tongue,34C,2528,3;W;B;Sy; Fel,364,NY422064,54.449952,-2.892312,1
2627,High Rigg [Naddle Fell],34C,,Ma;3;W;B; Sy;Fel,357,NY308219,54.588432,-3.071568,1
2628,Knipescar Common [Knipe Scar],34C,2559,WO;B;Sy,342,NY526191,54.565069,-2.733557,0
2629,Scalebarrow Knott,34C,2528,WO;B;Sy,338,NY519153,54.530821,-2.743482,0
2630,High Knott,34C,2528,2;WO,275,NY454001,54.393719,-2.841928,0
2631,Hugill Fell (Wainwright summit),34C,2528,WO,265,SD462994,54.387397,-2.829526,0
2632,Reston Scar,34C,2528,WO,255,SD460987,54.381758,-2.832692,0
2633,Grandsire,34D,2528,2;WO,251,SD432972,54.367856,-2.875508,0
2634,The Old Man of Coniston [Coniston Old Man],34D,,Ma;Sim;Hew;N; W;B;Sy;Fel,802.4,SD272978,54.370658,-3.121445,1
2635,Swirl How,34D,2634,Hu;Sim;Hew;N; W;B;Sy;Fel,802.4,NY272005,54.395239,-3.12153,1
2636,Brim Fell,34D,2634,N;sSim;W;B; Sy;Fel,796,SD270985,54.377283,-3.124197,1
2637,Great Carrs,34D,2634,N;sSim;W;B; Sy;Fel,785,NY270009,54.398777,-3.124738,1
2638,Dow Crag,34D,2634,Hu;Sim;Hew;N; W;B;Sy;Fel,778,SD262977,54.3703,-3.136659,1
2639,Grey Friar,34D,2634,Sim;Hew;N;W; B;Sy;Fel,773,NY260003,54.393339,-3.141054,1
2640,Wetherlam,34D,2634,Hu;Sim;Hew;N; sMa;W;B;Sy,763,NY288011,54.400488,-3.097966,1
2643,Harter Fell (Eskdale),34D,,Ma;Sim;Hew;N; W;B;Sy;Fel,654,SD218997,54.386898,-3.204538,1
2644,Walna Scar,34D,2634,N;WO;B;Sy; Fel,621,SD257963,54.357173,-3.143745,0
2646,Black Combe,34D,,Ma;Sim;Dew;WO; B;Sy;Fel,600,SD135854,54.257759,-3.328573,0
2647,Whitfell,34D,,Ma;5;Dew;WO; B;Sy;Fel,573,SD158929,54.325473,-3.294896,0
2648,Buck Barrow,34D,2647,5;Dew;WO;B; Sy;Fel,549,SD151910,54.307983,-3.304845,0
2649,Burn Moor,34D,2647,s5;WO;B;Sy,543,SD151924,54.320448,-3.305793,0
2650,Kinmont Buck Barrow,34D,2647,s5;WO;B;Sy,535,SD146909,54.307196,-3.312812,0
2651,Caw,34D,2634,Hu;5;Dew;WO; B;Sy;Fel,529,SD230944,54.339804,-3.18521,0
2652,Stainton Pike,34D,2647,s4;WO;B;Sy; Fel,498,SD152942,54.336889,-3.304822,0
2653,Yoadcastle,34D,2647,4;WO;B;Sy; Fel,494,SD156952,54.345757,-3.298456,0
2654,Woodend Height,34D,2647,WO;B;Sy,489,SD156954,54.34757,-3.298714,0
2655,Green Crag,34D,2643,Hu;4;sMa;W; B;Sy;Fel,488.7,SD200982,54.373688,-3.232801,1
2656,Hesk Fell,34D,2647,Hu;4;WO;B; Sy;Fel,477,SD176946,54.340904,-3.268861,0
